panID	best_hit_s288c	type	Note
192-augustus_masked-2854-CPI_4	YOL152W	nonORF based on ref genome	
193-augustus_masked-2860-CPI_4	YBR294W	nonORF based on ref genome	
194-augustus_masked-2860-CPI_4	YBR293W	nonORF based on ref genome	
201-augustus_masked-2861-CPI_4	YNL192W	nonORF based on ref genome	
202-augustus_masked-2866-CPI_4	YHR179W	nonORF based on ref genome	
208-augustus_masked-3088-AHL_3	YDR051C	nonORF based on ref genome	
212-augustus_masked-3105-AHL_3	YKL220C	nonORF based on ref genome	
217-augustus_masked-339-ALB_3	YDR039C	nonORF based on ref genome	
218-augustus_masked-339-ALB_3	YDR037W	nonORF based on ref genome	
236-augustus_masked-4748-CNV_4	YMR318C	nonORF based on ref genome	
238-augustus_masked-4776-BCQ_8	YJR159W,YDL246C	nonORF based on ref genome	same function for these two hits
241-augustus_masked-4866-BCP_8	YJR160C,YDL247W	nonORF based on ref genome	same function for these two hits
242-augustus_masked-4866-BCP_8	YDL245C	nonORF based on ref genome	
243-augustus_masked-4867-BCP_8	YFL058W,YNL332W	nonORF based on ref genome	same function for these two hits
246-augustus_masked-4896-BLT_2	YKL215C	nonORF based on ref genome	
247-augustus_masked-4896-BLT_2	YNL274C	nonORF based on ref genome	
254-augustus_masked-5425-CDT_2	YEL063C	nonORF based on ref genome	
257-augustus_masked-5427-CDT_2	YER163C	nonORF based on ref genome	
264-augustus_masked-5482-AQA_4	YDR007W	nonORF based on ref genome	
271-augustus_masked-5495-AQA_4	YMR041C	nonORF based on ref genome	
276-augustus_masked-5742-AVQ_5	YNL331C	nonORF based on ref genome	
288-augustus_masked-6650-CPA_4	YFL054C	nonORF based on ref genome	
298-augustus_masked-7012-CFC_2	YER043C	nonORF based on ref genome	
300-augustus_masked-7012-CFC_2	YER042W	nonORF based on ref genome	
302-augustus_masked-7012-CFC_2	YFR044C	nonORF based on ref genome	
303-augustus_masked-7012-CFC_2	YGL234W	nonORF based on ref genome	
305-augustus_masked-7012-CFC_2	YFR047C	nonORF based on ref genome	
318-augustus_masked-7605-CPQ_4	YNL268W	nonORF based on ref genome	
324-augustus_masked-7614-CPQ_4	YDR071C	nonORF based on ref genome	
330-augustus_masked-7614-CPQ_4	YDR074W	nonORF based on ref genome	
343-augustus_masked-772-BSG_4	YGR287C	nonORF based on ref genome	
345-augustus_masked-774-BSG_4	YCR105W	nonORF based on ref genome	
348-augustus_masked-779-BSG_4	YDR384C	nonORF based on ref genome	
349-augustus_masked-779-BSG_4	YNL331C	nonORF based on ref genome	
350-augustus_masked-779-BSG_4	YPL088W	nonORF based on ref genome	
352-augustus_masked-7951-AMM_4	YPL088W	nonORF based on ref genome	
354-augustus_masked-7951-AMM_4	YPL088W	nonORF based on ref genome	
359-augustus_masked-8489-AQD_4	YLR081W	nonORF based on ref genome	
360-augustus_masked-858-BGT_2	YLR081W	nonORF based on ref genome	
363-augustus_masked-877-BGT_2	YBR019C	nonORF based on ref genome	
364-augustus_masked-877-BGT_2	YBR018C	nonORF based on ref genome	
371-augustus_masked-8850-CQS_4	YFL055W	nonORF based on ref genome	
374-augustus_masked-9019-CEI_2	YKR072C	nonORF based on ref genome	
377-augustus_masked-9019-CEI_2	YKR069W	nonORF based on ref genome	
378-augustus_masked-9019-CEI_2	YKR067W	nonORF based on ref genome	
387-augustus_masked-9885-CPR_4	YGL012W	nonORF based on ref genome	
388-augustus_masked-9889-CPR_4	YFL022C	nonORF based on ref genome	
390-augustus_masked-9892-CPR_4	YGL006W	nonORF based on ref genome	
394-augustus_masked-9892-CPR_4	YGR007W	nonORF based on ref genome	
395-augustus_masked-9892-CPR_4	YGR010W	nonORF based on ref genome	
398-augustus_masked-990-AFD_4	YDR538W	nonORF based on ref genome	
399-augustus_masked-990-AFD_4	YDR539W	nonORF based on ref genome	
401-augustus_masked-9901-CPR_4	YGL027C	nonORF based on ref genome	
410-augustus_masked-9906-CPR_4	YGR020C	nonORF based on ref genome	
416-augustus_masked-9908-CPR_4	YGR036C	nonORF based on ref genome	
437-maker-11975-ANL_2	YDL243C	nonORF based on ref genome	
447-maker-137-YCE	YNL333W,YFL059W	nonORF based on ref genome	same function for these two hits
449-maker-1538-CHI_4	YNL331C	nonORF based on ref genome	
451-maker-1652-AIE_1	YHR216W	nonORF based on ref genome	
454-maker-1706-AIE_1	YDR345C	nonORF based on ref genome	
456-maker-1897-CLC_4	YPL091W	nonORF based on ref genome	
500-maker-4265-BCN_8	YBR299W,YGR292W	nonORF based on ref genome	same function for these two hits
518-maker-6650-CPA_4	YJL214W	nonORF based on ref genome	
529-maker-8850-CQS_4	YHR063C	nonORF based on ref genome	
540-maker-9894-CPR_4	YLL057C	nonORF based on ref genome	
558-snap_masked-10193-AMH_5	YBR093C	nonORF based on ref genome	
574-snap_masked-12218-ALI_5	YOL156W,YJL219W	nonORF based on ref genome	same function for these two hits
580-snap_masked-1649-AIE_1	YER060W-A	nonORF based on ref genome	
581-snap_masked-1653-AIE_1	YDR343C,YDR342C	nonORF based on ref genome	same function for these two hits
591-snap_masked-217-BFM_3	YBR298C	nonORF based on ref genome	
615-snap_masked-3161-AGR_2	YFL059W	nonORF based on ref genome	
623-snap_masked-3817-CBB_4	YKL220C	nonORF based on ref genome	
624-snap_masked-3893-ATH_3	YMR318C	nonORF based on ref genome	
631-snap_masked-4255-BCN_8	YEL070W,YNR073C	nonORF based on ref genome	same function for these two hits
633-snap_masked-4265-BCN_8	YBR298C	nonORF based on ref genome	
641-snap_masked-4866-BCP_8	YLR286C	nonORF based on ref genome	
644-snap_masked-4896-BLT_2	YGR287C	nonORF based on ref genome	
664-snap_masked-6650-CPA_4	YFL055W	nonORF based on ref genome	
665-snap_masked-6650-CPA_4	YFL055W	nonORF based on ref genome	
666-snap_masked-6650-CPA_4	YJL214W	nonORF based on ref genome	
699-snap_masked-9902-CPR_4	YNL202W	nonORF based on ref genome	
703-augustus_masked-CFC_2-43056	YGL224C	nonORF based on ref genome	
714-augustus_masked-CFC_2-43056	YGL245W	nonORF based on ref genome	
716-augustus_masked-CFC_2-43056	YGL248W	nonORF based on ref genome	
719-augustus_masked-CFC_2-43056	YGL253W	nonORF based on ref genome	
727-augustus_masked-CPQ_4-15294	YDR098C	nonORF based on ref genome	
731-augustus_masked-CPI_4-15898	YMR165C	nonORF based on ref genome	
734-augustus_masked-AIE_1-5050	YDR342C	nonORF based on ref genome	
735-augustus_masked-AIE_1-5050	YDR341C	nonORF based on ref genome	
741-augustus_masked-CCH_4-6757	YFL055W	nonORF based on ref genome	
745-augustus_masked-YBR-7232	YAL062W	nonORF based on ref genome	
746-augustus_masked-YBR-7232	YAL060W	nonORF based on ref genome	
747-augustus_masked-CQS_4-6447	YLR258W	nonORF based on ref genome	
750-augustus_masked-YDM-5142	YCR098C	nonORF based on ref genome	
751-augustus_masked-BMB_1-4633	YJL216C	nonORF based on ref genome	
754-augustus_masked-AHM_1-7103	YHR091C	nonORF based on ref genome	
755-augustus_masked-AHM_1-7103	YHR092C	nonORF based on ref genome	
756-augustus_masked-AHM_1-7103	YHR096C	nonORF based on ref genome	
759-augustus_masked-CPN_4-15699	YGL026C	nonORF based on ref genome	
762-augustus_masked-CPN_4-15699	YGL022W	nonORF based on ref genome	
770-augustus_masked-AKG_3-6639	YFL058W,YNL332W	nonORF based on ref genome	same function for these two hits
772-augustus_masked-AHA_2-9651	YNL331C	nonORF based on ref genome	
778-augustus_masked-CPQ_4-15250	YDR058C	nonORF based on ref genome	
780-augustus_masked-CPQ_4-15250	YDR062W	nonORF based on ref genome	
783-augustus_masked-BBM_6-7237	YNR060W	nonORF based on ref genome	
785-augustus_masked-CDT_2-5309	YEL070W,YNR073C	nonORF based on ref genome	same function for these two hits
786-augustus_masked-AQA_4-7230	YFR015C	nonORF based on ref genome	
794-augustus_masked-CPA_4-16604	YJL129C	nonORF based on ref genome	
799-augustus_masked-AQD_4-6774	YER073W	nonORF based on ref genome	
800-augustus_masked-BAL_7-7460	YER183C	nonORF based on ref genome	
805-augustus_masked-ATQ_7-5187	YDL164C	nonORF based on ref genome	
806-augustus_masked-ATQ_7-5187	YDL166C	nonORF based on ref genome	
814-augustus_masked-ABM_5-4619	YOR341W	nonORF based on ref genome	
822-augustus_masked-CPR_4-17880	YNL191W	nonORF based on ref genome	
829-augustus_masked-YCL-7822	YOL151W	nonORF based on ref genome	
833-augustus_masked-CCH_4-6793	YPL088W	nonORF based on ref genome	
845-augustus_masked-BBM_6-7255	YJL088W	nonORF based on ref genome	
854-augustus_masked-CGD_5-5430	YGL038C	nonORF based on ref genome	
855-augustus_masked-CGD_5-5430	YGL037C	nonORF based on ref genome	
861-augustus_masked-CPN_4-15612	YGR019W	nonORF based on ref genome	
864-augustus_masked-CPN_4-15612	YGL001C	nonORF based on ref genome	
870-augustus_masked-CPN_4-15612	YGR012W	nonORF based on ref genome	
873-augustus_masked-YCC-11519	YLR432W	nonORF based on ref genome	
874-augustus_masked-YCC-11519	YAR071W,YHR215W	nonORF based on ref genome	same function for these two hits
889-augustus_masked-CPM_4-14876	YNL267W	nonORF based on ref genome	
892-augustus_masked-AIE_1-5069	YKR039W	nonORF based on ref genome	
896-augustus_masked-AIE_1-5069	YKR043C	nonORF based on ref genome	
902-augustus_masked-BIL_3-4712	YNR072W	nonORF based on ref genome	
904-augustus_masked-BIL_3-4712	YPL088W	nonORF based on ref genome	
910-augustus_masked-YDM-5301	YMR008C	nonORF based on ref genome	
913-augustus_masked-CET_4-8395	YMR323W	nonORF based on ref genome	
926-augustus_masked-AHM_1-7114	YDR343C,YDR342C	nonORF based on ref genome	same function for these two hits
937-augustus_masked-AHM_1-7082	YFL054C	nonORF based on ref genome	
940-augustus_masked-BDG_5-19334	YEL042W	nonORF based on ref genome	
941-augustus_masked-BDG_5-19334	YOL151W	nonORF based on ref genome	
942-augustus_masked-BDG_5-19334	YIR038C	nonORF based on ref genome	
944-augustus_masked-BDG_5-19334	YJL212C	nonORF based on ref genome	
946-augustus_masked-BDG_5-19334	YFL054C	nonORF based on ref genome	
951-augustus_masked-AQH_2-38595	YNL331C	nonORF based on ref genome	
956-augustus_masked-AID_2-6449	YOL097C	nonORF based on ref genome	
957-augustus_masked-CGE_5-5798	YIL014W	nonORF based on ref genome	
958-augustus_masked-CGE_5-5798	YIL010W	nonORF based on ref genome	
960-augustus_masked-ABM_5-4457	YDR529C	nonORF based on ref genome	
961-augustus_masked-ABM_5-4457	YDR530C	nonORF based on ref genome	
962-augustus_masked-ABM_5-4457	YDR533C	nonORF based on ref genome	
969-augustus_masked-BBM_6-7237	YNR067C	nonORF based on ref genome	
970-augustus_masked-BDP_5-11433	YMR319C	nonORF based on ref genome	
975-augustus_masked-YBR-7258	YER010C	nonORF based on ref genome	
977-augustus_masked-BGM_1-17021	YNL331C	nonORF based on ref genome	
980-augustus_masked-BCD_8-12448	YGL257C	nonORF based on ref genome	
981-augustus_masked-BCD_8-12448	YKR039W	nonORF based on ref genome	
984-augustus_masked-CPA_4-16622	YJR121W	nonORF based on ref genome	
989-augustus_masked-BQN_4-5641	YOL156W,YJL219W	nonORF based on ref genome	same function for these two hits
990-augustus_masked-BQN_4-5641	YIL160C	nonORF based on ref genome	
998-augustus_masked-BBM_6-7272	YHR008C	nonORF based on ref genome	
1000-augustus_masked-CGE_5-5812	YOR081C	nonORF based on ref genome	
1007-augustus_masked-YCM-7680	YNR058W	nonORF based on ref genome	
1012-augustus_masked-CEG_4-7368	YHR094C	nonORF based on ref genome	
1013-augustus_masked-AID_2-6438	YEL066W	nonORF based on ref genome	
1016-augustus_masked-AID_2-6438	YNR072W	nonORF based on ref genome	
1017-augustus_masked-AID_2-6438	YEL069C	nonORF based on ref genome	
1018-augustus_masked-AID_2-6438	YEL064C	nonORF based on ref genome	
1021-augustus_masked-ABL_5-5062	YPL088W	nonORF based on ref genome	
1023-augustus_masked-AHG_3-5017	YOL151W	nonORF based on ref genome	
1024-augustus_masked-AHG_3-5017	YHR208W	nonORF based on ref genome	
1028-augustus_masked-CPQ_4-15294	YDR093W	nonORF based on ref genome	
1036-augustus_masked-CNP_1-20000	YJL212C	nonORF based on ref genome	
1037-augustus_masked-CNP_1-20000	YNL333W,YFL059W	nonORF based on ref genome	same function for these two hits
1040-augustus_masked-CNP_1-20000	YFL060C,YNL334C	nonORF based on ref genome	same function for these two hits
1042-augustus_masked-AQD_4-6895	YJL168C	nonORF based on ref genome	
1045-augustus_masked-AQD_4-6895	YJL166W	nonORF based on ref genome	
1046-augustus_masked-AQD_4-6895	YJL167W	nonORF based on ref genome	
1048-augustus_masked-CQS_4-6442	YBR154C	nonORF based on ref genome	
1051-augustus_masked-CQS_4-6442	YBR153W	nonORF based on ref genome	
1060-augustus_masked-ASN_8-20595	YBR020W	nonORF based on ref genome	
1061-augustus_masked-BCB_3-14860	YJL214W	nonORF based on ref genome	
1064-augustus_masked-CMG_6-37743	YGR289C	nonORF based on ref genome	
1067-augustus_masked-CMG_6-37743	YMR318C	nonORF based on ref genome	
1072-augustus_masked-CPA_4-16548	YBR199W	nonORF based on ref genome	
1075-augustus_masked-AEL_3-25454	YMR226C	nonORF based on ref genome	
1076-augustus_masked-AHL_3-7997	YBR039W	nonORF based on ref genome	
1078-augustus_masked-AHL_3-7997	YBR041W	nonORF based on ref genome	
1079-augustus_masked-AHL_3-7997	YBR042C	nonORF based on ref genome	
1082-augustus_masked-ALI_5-15120	YGR286C	nonORF based on ref genome	
1091-augustus_masked-AIE_1-5054	YJR158W,YDL245C	nonORF based on ref genome	same function for these two hits
1092-augustus_masked-AIE_1-5054	YJR159W	nonORF based on ref genome	
1093-augustus_masked-AIE_1-5054	YDL236W	nonORF based on ref genome	
1098-augustus_masked-CQS_4-6414	YOR163W	nonORF based on ref genome	
1099-augustus_masked-CQS_4-6414	YOR161C	nonORF based on ref genome	
1106-augustus_masked-CPL_4-15634	YOL140W	nonORF based on ref genome	
1109-augustus_masked-CEI_2-8657	YML125C	nonORF based on ref genome	
1110-augustus_masked-YAE-4724	YFL055W	nonORF based on ref genome	
1112-augustus_masked-BAH_6-7313	YBR199W	nonORF based on ref genome	
1118-augustus_masked-CPR_4-17369	YGL009C	nonORF based on ref genome	
1124-augustus_masked-CPI_4-15424	YOL136C	nonORF based on ref genome	
1125-augustus_masked-BBM_6-7238	YBR038W	nonORF based on ref genome	
1127-augustus_masked-APS_4-8484	YJR159W	nonORF based on ref genome	
1128-augustus_masked-CPA_4-16961	YOL126C	nonORF based on ref genome	
1129-augustus_masked-CFI_4-63651	YMR303C	nonORF based on ref genome	
1136-augustus_masked-AVQ_5-51269	YNL331C	nonORF based on ref genome	
1141-augustus_masked-AVB_8-8060	YML082W	nonORF based on ref genome	
1142-augustus_masked-AVB_8-8060	YML086C	nonORF based on ref genome	
1149-augustus_masked-AMH_5-6645	YKR076W	nonORF based on ref genome	
1157-augustus_masked-ABP_6-5400	YCL004W	nonORF based on ref genome	
1161-augustus_masked-ABP_6-5400	YCR010C	nonORF based on ref genome	
1162-augustus_masked-YAW-6840	YKL094W	nonORF based on ref genome	
1172-augustus_masked-CPR_4-17889	YGR046W	nonORF based on ref genome	
1173-augustus_masked-CPR_4-17889	YGR055W	nonORF based on ref genome	
1174-augustus_masked-CPR_4-17889	YGR043C	nonORF based on ref genome	
1179-augustus_masked-AVB_8-7958	YAL035W	nonORF based on ref genome	
1182-augustus_masked-ALI_5-15258	YGR289C	nonORF based on ref genome	
1183-augustus_masked-ALI_5-15258	YJL214W	nonORF based on ref genome	
1184-augustus_masked-ALI_5-15258	YJL216C	nonORF based on ref genome	
1186-augustus_masked-CNI_4-19788	YML054C	nonORF based on ref genome	
1188-augustus_masked-AHF_3-9612	YNL335W,YFL061W	nonORF based on ref genome	same function for these two hits
1189-augustus_masked-AHF_3-9612	YFL060C,YNL334C	nonORF based on ref genome	same function for these two hits
1196-augustus_masked-AVB_8-8059	YBR046C	nonORF based on ref genome	
1198-augustus_masked-BTG_3-6441	YBR180W	nonORF based on ref genome	
1199-augustus_masked-BTG_3-6441	YPL092W	nonORF based on ref genome	
1200-augustus_masked-BTG_3-6441	YPL091W	nonORF based on ref genome	
1206-augustus_masked-CGH_5-16625	YAR071W,YHR215W	nonORF based on ref genome	same function for these two hits
1208-augustus_masked-BIF_1-6636	YIL155C	nonORF based on ref genome	
1213-augustus_masked-BRK_4-4809	YJR148W	nonORF based on ref genome	
1216-augustus_masked-BRK_4-4809	YJR152W	nonORF based on ref genome	
1217-augustus_masked-BRK_4-4809	YJR149W	nonORF based on ref genome	
1221-augustus_masked-AQA_4-6966	YLR450W	nonORF based on ref genome	
1227-augustus_masked-CPM_4-14363	YBR034C	nonORF based on ref genome	
1228-augustus_masked-CPM_4-14363	YBR035C	nonORF based on ref genome	
1229-augustus_masked-CPM_4-14363	YBR036C	nonORF based on ref genome	
1232-augustus_masked-AHL_3-7961	YDR035W	nonORF based on ref genome	
1235-augustus_masked-CDE_2-5632	YDR508C	nonORF based on ref genome	
1242-augustus_masked-ALI_5-15225	YOR002W	nonORF based on ref genome	
1247-augustus_masked-CGD_5-5416	YPR145W	nonORF based on ref genome	
1253-augustus_masked-CDT_2-5272	YDR226W	nonORF based on ref genome	
1255-augustus_masked-CGD_5-5246	YDR399W	nonORF based on ref genome	
1256-augustus_masked-CGD_5-5246	YDR400W	nonORF based on ref genome	
1257-augustus_masked-CGD_5-5246	YDR402C	nonORF based on ref genome	
1264-augustus_masked-AID_2-6415	YJR131W	nonORF based on ref genome	
1266-augustus_masked-AID_2-6415	YJR130C	nonORF based on ref genome	
1277-augustus_masked-CPR_4-17794	YLL051C	nonORF based on ref genome	
1279-augustus_masked-CPR_4-17794	YLL048C	nonORF based on ref genome	
1280-augustus_masked-BBM_6-7272	YHL018W	nonORF based on ref genome	
1288-augustus_masked-CPQ_4-15165	YDR105C	nonORF based on ref genome	
1296-augustus_masked-YCB-8071	YLR081W	nonORF based on ref genome	
1302-augustus_masked-CQS_4-6075	YML004C	nonORF based on ref genome	
1316-augustus_masked-CPA_4-16589	YOR176W	nonORF based on ref genome	
1321-augustus_masked-BDM_5-22999	YFR055W	nonORF based on ref genome	
1325-augustus_masked-YBP-8463	YDR343C,YDR342C	nonORF based on ref genome	same function for these two hits
1326-augustus_masked-AID_2-6383	YAL039C	nonORF based on ref genome	
1331-augustus_masked-CPG_1-7609	YFR053C	nonORF based on ref genome	
1334-augustus_masked-CPG_1-7609	YFR055W	nonORF based on ref genome	
1336-augustus_masked-CPQ_4-14811	YBL076C	nonORF based on ref genome	
1349-augustus_masked-BBM_6-7257	YFL053W	nonORF based on ref genome	
1350-augustus_masked-BBM_6-7257	YNL331C	nonORF based on ref genome	
1357-augustus_masked-CPQ_4-15250	YDR072C	nonORF based on ref genome	
1362-augustus_masked-BAM_7-7195	YKL127W	nonORF based on ref genome	
1366-augustus_masked-CQS_4-6444	YMR105C	nonORF based on ref genome	
1367-augustus_masked-BPF_4-10460	YLR237W	nonORF based on ref genome	
1373-augustus_masked-AAG_6-7250	YDR345C	nonORF based on ref genome	
1374-augustus_masked-BEP_4-7596	YGR192C	nonORF based on ref genome	
1377-augustus_masked-CDT_2-5315	YDR441C	nonORF based on ref genome	
1380-augustus_masked-AQA_4-7239	YDR001C	nonORF based on ref genome	
1382-augustus_masked-AQA_4-7239	YDR009W	nonORF based on ref genome	
1386-augustus_masked-CPN_4-15370	YNL229C	nonORF based on ref genome	
1389-augustus_masked-CEG_4-7331	YKR066C	nonORF based on ref genome	
1400-augustus_masked-ACL_7-7535	YFR055W	nonORF based on ref genome	
1405-augustus_masked-CQS_4-6442	YBR296C	nonORF based on ref genome	
1412-augustus_masked-CPN_4-15749	YNL331C	nonORF based on ref genome	
1413-augustus_masked-AID_2-6220	YJR143C	nonORF based on ref genome	
1416-augustus_masked-BBM_6-6977	YJR121W	nonORF based on ref genome	
1417-augustus_masked-CPG_1-7550	YFL011W	nonORF based on ref genome	
1423-augustus_masked-CPR_4-17889	YGR032W	nonORF based on ref genome	
1430-augustus_masked-CPQ_4-15272	YAL062W	nonORF based on ref genome	
1431-augustus_masked-CPQ_4-15272	YAL061W	nonORF based on ref genome	
1436-maker-BDE_8-15861	YJL214W	nonORF based on ref genome	
1439-maker-AHM_1-7103	YHR094C	nonORF based on ref genome	
1462-maker-CPM_4-14876	YNL270C	nonORF based on ref genome	
1473-maker-CET_4-8407	YJR155W	nonORF based on ref genome	
1492-maker-BEE_6-12017	YBR299W	nonORF based on ref genome	
1496-maker-CHB_4-9987	YGR287C	nonORF based on ref genome	
1505-maker-ANL_2-46428	YDL243C	nonORF based on ref genome	
1511-maker-ABP_6-5400	YCL009C	nonORF based on ref genome	
1512-maker-ABP_6-5400	YCL005W-A	nonORF based on ref genome	
1540-maker-CPR_4-17794	YLL057C	nonORF based on ref genome	
1549-maker-CDT_2-5317	YER060W-A	nonORF based on ref genome	
1563-maker-CQB_6-11660	YMR008C	nonORF based on ref genome	
1566-maker-AQD_4-6575	YDR046C	nonORF based on ref genome	
1568-maker-AHL_3-8012	YDR261C	nonORF based on ref genome	
1570-maker-CPQ_4-15272	YAL054C	nonORF based on ref genome	
1573-snap_masked-CPK_4-16846	YDR208W	nonORF based on ref genome	
1575-snap_masked-BBM_6-7010	YML081C-A	nonORF based on ref genome	
1577-snap_masked-AQA_4-7171	YIL145C	nonORF based on ref genome	
1579-snap_masked-BMB_1-4633	YJL216C	nonORF based on ref genome	
1589-snap_masked-BVG_4-25625	YDR536W	nonORF based on ref genome	
1594-snap_masked-AMH_5-6573	YLR342W	nonORF based on ref genome	
1613-snap_masked-CPA_4-16966	YHR002W	nonORF based on ref genome	
1629-snap_masked-CQS_4-6404	YBR298C	nonORF based on ref genome	
1636-snap_masked-AID_2-6449	YOL096C	nonORF based on ref genome	
1645-snap_masked-CPK_4-16853	YAR035W	nonORF based on ref genome	
1648-snap_masked-CGE_5-5812	YOR085W	nonORF based on ref genome	
1660-snap_masked-BCB_3-14860	YJL214W	nonORF based on ref genome	
1669-snap_masked-BEE_6-12017	YNR072W	nonORF based on ref genome	
1674-snap_masked-BHR_4-9388	YDR036C	nonORF based on ref genome	
1685-snap_masked-BGP_1-17003	YNL331C	nonORF based on ref genome	
1698-snap_masked-BRK_4-4809	YJR149W	nonORF based on ref genome	
1715-snap_masked-AFI_5-7003	YDR345C	nonORF based on ref genome	
1723-snap_masked-BDM_5-22999	YFR055W	nonORF based on ref genome	
1729-snap_masked-BBH_6-7041	YML056C	nonORF based on ref genome	
1731-snap_masked-ADQ_4-7102	YDR345C	nonORF based on ref genome	
1734-snap_masked-AVB_8-7946	YMR303C	nonORF based on ref genome	
1735-snap_masked-BAQ_7-7673	YLR081W	nonORF based on ref genome	
1738-snap_masked-BBM_6-7257	YJL214W	nonORF based on ref genome	
1745-snap_masked-ASC_6-27073	YLR081W	nonORF based on ref genome	
1748-snap_masked-CDT_2-5315	YDR440W	nonORF based on ref genome	
1749-snap_masked-AQM_4-11146	YHR094C	nonORF based on ref genome	
1757-snap_masked-CQS_4-6420	YFL055W	nonORF based on ref genome	
1762-snap_masked-ANM_2-42027	YIL172C,YJL221C	nonORF based on ref genome	same function for these two hits
1768-YAL001C	YAL001C	ORF based on ref genome	
1769-YAL002W	YAL002W	ORF based on ref genome	
1770-YAL003W	YAL003W	ORF based on ref genome	
1771-YAL005C_NumOfGenes_3	YAL005C	ORF based on ref genome	
1772-YAL007C	YAL007C	ORF based on ref genome	
1773-YAL008W	YAL008W	ORF based on ref genome	
1774-YAL009W	YAL009W	ORF based on ref genome	
1775-YAL010C	YAL010C	ORF based on ref genome	
1776-YAL011W	YAL011W	ORF based on ref genome	
1777-YAL012W	YAL012W	ORF based on ref genome	
1778-YAL013W	YAL013W	ORF based on ref genome	
1779-YAL014C	YAL014C	ORF based on ref genome	
1780-YAL015C	YAL015C	ORF based on ref genome	
1781-YAL016C-A	YAL016C-A	ORF based on ref genome	
1782-YAL016C-B	YAL016C-B	ORF based on ref genome	
1783-YAL016W	YAL016W	ORF based on ref genome	
1784-YAL017W	YAL017W	ORF based on ref genome	
1785-YAL018C	YAL018C	ORF based on ref genome	
1786-YAL019W	YAL019W	ORF based on ref genome	
1787-YAL019W-A	YAL019W-A	ORF based on ref genome	
1788-YAL020C	YAL020C	ORF based on ref genome	
1789-YAL021C	YAL021C	ORF based on ref genome	
1790-YAL022C	YAL022C	ORF based on ref genome	
1791-YAL023C	YAL023C	ORF based on ref genome	
1792-YAL024C	YAL024C	ORF based on ref genome	
1793-YAL025C	YAL025C	ORF based on ref genome	
1794-YAL026C	YAL026C	ORF based on ref genome	
1795-YAL026C-A	YAL026C-A	ORF based on ref genome	
1796-YAL027W	YAL027W	ORF based on ref genome	
